Month,No. of Banks Live on NETC,Tag Issuance (In Nos.),Volume (In Mn),Amount (In Cr)
Feb-25,38,105972646,383.9,6601.13
Jan-25,38,103174571,380.32,6613.72
Dec-24,38,103174571,381.98,6642.21
Nov-24,38,101752520,358.84,6070.44
Oct-24,38,100319978,344.96,6114.92
Sep-24,38,98792864,318.4,5620.48
Aug-24,38,97474064,328.99,5610.64
Jul-24,38,96054634,322.74,5577.9
Jun-24,38,94563944,334.41,5779.84
May-24,38,92916217,347.36,5907.69
Apr-24,38,90953324,328.1,5592.33
Mar-24,39,88185021,338.73,5938.86
Feb-24,39,84652413,323.43,5581.59
Jan-24,38,82708086,331.38,5559.91
Dec-23,38,81241577,347.96,5860.77
Nov-23,38,79731778,320.8,5302.87
Oct-23,38,78226391,319.69,5539.2
Sep-23,38,76831483,298.95,5088.71
Aug-23,38,75448494,308.04,5175.69
Jul-23,38,73995321,295.03,4980.72
Jun-23,38,72611927,316.12,5195.86
May-23,38,70651760,335.25,5436.48
Apr-23,37,69111820,305.01,5149.17
Mar-23,37,67679632,306.29,5067.21
Feb-23,37,66180419,288.39,4683.25
Jan-23,36,64784398,300.84,4813.51
Dec-22,36,63305104,308.0,4939.75
Nov-22,36,61773702,285.64,4645.56
Oct-22,36,60322454,282.99,4451.89
Sep-22,36,58784387,259.15,4244.74
Aug-22,36,57421576,271.97,4245.14
Jul-22,36,55941348,265.15,4162.45
Jun-22,36,54454707,277.94,4302.68
May-22,36,52856885,285.37,4369.35
Apr-22,36,51189695,265.39,4218.36
Mar-22,36,49585840,270.41,4095.3
Feb-22,35,47774655,243.64,3631.22
Jan-22,35,45968411,231.01,3603.71
Dec-21,35,44223583,242.07,3679.42
Nov-21,35,42441673,214.13,3177.17
Oct-21,35,40905674,214.23,3356.74
Sep-21,33,39410089,193.61,3009.3
Aug-21,34,37969696,201.2,3076.56
Jul-21,34,36337603,192.33,2976.39
Jun-21,33,34734802,157.86,2576.28
May-21,32,33448613,116.48,2125.16
Apr-21,31,32716094,164.32,2776.9
Mar-21,31,31209935,193.21,3086.32
Feb-21,29,28470000,158.96,2556.34
Jan-21,29,24945261,148.56,2397.84
Dec-20,28,22950023,138.41,2303.79
Nov-20,27,21096651,124.88,2102.02
Oct-20,27,20206215,122.36,2137.16
Nov-16,3,107801,,
